stop_id,stop_name,similar_stop_id,similar_stop_name
S0119000063,２１線,S0119000063,２１線
S011900006300000,２１線,S0119000063,２１線
S0119000064,２２線,S0119000064,２２線
S011900006400000,２２線,S0119000064,２２線
S0119000065,山部大橋,S0119000065,山部大橋
S011900006500000,山部大橋,S0119000065,山部大橋
S0119000066,苗圃,S0119000066,苗圃
S011900006600000,苗圃,S0119000066,苗圃
S0119000067,下金山入口,S0119000067,下金山入口
S011900006700000,下金山入口,S0119000067,下金山入口
S0119000068,やなぎ,S0119000068,やなぎ
S011900006800000,やなぎ,S0119000068,やなぎ
S0119000069,東山入口,S0119000069,東山入口
S011900006900000,東山入口,S0119000069,東山入口
S0119000070,東山,S0119000070,東山
S011900007000000,東山,S0119000070,東山
S0119000071,弘雲寺,S0119000071,弘雲寺
S011900007100000,弘雲寺,S0119000071,弘雲寺
S0119000072,樹海中学校,S0119000072,樹海中学校
S011900007200000,樹海中学校,S0119000072,樹海中学校
S0119000073,かえで,S0119000073,かえで
S011900007300000,かえで,S0119000073,かえで
S0119000074,かつら,S0119000074,かつら
S011900007400000,かつら,S0119000074,かつら
S0119000075,大仙寺,S0119000075,大仙寺
S011900007500000,大仙寺,S0119000075,大仙寺
S0119000076,さくら,S0119000076,さくら
S011900007600000,さくら,S0119000076,さくら
S0119000077,神社前［東山］,S0119000077,神社前［東山］
S011900007700000,神社前［東山］,S0119000077,神社前［東山］
S0119000078,おもと,S0119000078,おもと
S011900007800000,おもと,S0119000078,おもと
S0119000079,開拓地,S0119000079,開拓地
S011900007900000,開拓地,S0119000079,開拓地
S0119000080,西達布,S0119000080,西達布
S011900008000000,西達布,S0119000080,西達布
S0119000081,信金前,S0119000081,信金前
S011900008100000,信金前,S0119000081,信金前
S0119000082,フラノマルシェ［麓麻］,S0119000082,フラノマルシェ［麓麻］
S011900008200000,フラノマルシェ［麓麻］,S0119000082,フラノマルシェ［麓麻］
S0119000083,錦町,S0119000083,錦町
S011900008300000,錦町,S0119000083,錦町
S0119000084,東中学校,S0119000084,東中学校
S011900008400000,東中学校,S0119000084,東中学校
S0119000085,北麻町公園,S0119000085,北麻町公園
S011900008500000,北麻町公園,S0119000085,北麻町公園
S0119000086,南麻町,S0119000086,南麻町
