stop_id,stop_name,similar_stop_id,similar_stop_name
S011100004900000,岬町三丁目,S0111000049,岬町三丁目
S011100004900001,岬町三丁目,S0111000049,岬町三丁目
S0111000050,共立病院前（根室市）,S0111000050,共立病院前（根室市）
S011100005000000,共立病院前（根室市）,S0111000050,共立病院前（根室市）
S011100005000001,共立病院前（根室市）,S0111000050,共立病院前（根室市）
S0111000051,花園町,S0111000051,花園町
S011100005100000,花園町,S0111000051,花園町
S011100005100001,花園町,S0111000051,花園町
S0111000053,敷島町二丁目,S0111000053,敷島町二丁目
S011100005300000,敷島町二丁目,S0111000053,敷島町二丁目
S0111000054,光和公園前,S0111000054,光和公園前
S011100005400000,光和公園前,S0111000054,光和公園前
S0111000055,光和町三丁目,S0111000055,光和町三丁目
S011100005500000,光和町三丁目,S0111000055,光和町三丁目
S0111000056,市営住宅前［根室市］,S0111000056,市営住宅前［根室市］
S011100005600000,市営住宅前［根室市］,S0111000056,市営住宅前［根室市］
S0111000057,宝林町三丁目,S0111000057,宝林町三丁目
S011100005700000,宝林町三丁目,S0111000057,宝林町三丁目
S0111000059,昭和町三丁目,S0111000059,昭和町三丁目
S011100005900000,昭和町三丁目,S0111000059,昭和町三丁目
S0111000060,成央小学校前,S0111000060,成央小学校前
S011100006000000,成央小学校前,S0111000060,成央小学校前
S0111000061,光洋町一丁目,S0111000061,光洋町一丁目
S011100006100000,光洋町一丁目,S0111000061,光洋町一丁目
S0111000062,光洋町三丁目,S0111000062,光洋町三丁目
S011100006200000,光洋町三丁目,S0111000062,光洋町三丁目
S0111000063,光洋町四丁目,S0111000063,光洋町四丁目
S011100006300000,光洋町四丁目,S0111000063,光洋町四丁目
S0111000064,公住南［根室市］,S0111000064,公住南［根室市］
S011100006400000,公住南［根室市］,S0111000064,公住南［根室市］
S0111000065,公住東［根室市］,S0111000065,公住東［根室市］
S011100006500000,公住東［根室市］,S0111000065,公住東［根室市］
S0111000066,公住北［根室市］,S0111000066,公住北［根室市］
S011100006600000,公住北［根室市］,S0111000066,公住北［根室市］
S0111000067,自衛隊官舎前［根室市］,S0111000067,自衛隊官舎前［根室市］
S011100006700000,自衛隊官舎前［根室市］,S0111000067,自衛隊官舎前［根室市］
S0111000069,光洋町南,S0111000069,光洋町南
S011100006900000,光洋町南,S0111000069,光洋町南
S0111000070,光洋町西,S0111000070,光洋町西
S011100007000000,光洋町西,S0111000070,光洋町西
S0111000071,光洋町二丁目,S0111000071,光洋町二丁目
S011100007100000,光洋町二丁目,S0111000071,光洋町二丁目
S0111000072,緑町一丁目,S0111000072,緑町一丁目
S011100007200000,緑町一丁目,S0111000072,緑町一丁目
S0111000074,運動公園前,S0111000074,運動公園前
S011100007400000,運動公園前,S0111000074,運動公園前
S011100007400001,運動公園前,S0111000074,運動公園前
S0111000075,西浜町２丁目,S0111000075,西浜町２丁目
S011100007500000,西浜町２丁目,S0111000075,西浜町２丁目
S011100007500001,西浜町２丁目,S0111000075,西浜町２丁目
S0111000076,西浜墓地前,S0111000076,西浜墓地前
S011100007600000,西浜墓地前,S0111000076,西浜墓地前
S0111000078,西浜団地前,S0111000078,西浜団地前
S011100007800000,西浜団地前,S0111000078,西浜団地前
S0111000082,穂香,S0111000082,穂香
S011100008200000,穂香,S0111000082,穂香
S0111000083,幌茂尻,S0111000083,幌茂尻
S011100008300000,幌茂尻,S0111000083,幌茂尻
S0111000084,温根沼,S0111000084,温根沼
S011100008400000,温根沼,S0111000084,温根沼
S0111000086,東梅,S0111000086,東梅
S011100008600000,東梅,S0111000086,東梅
S0111000087,ペンケ東梅,S0111000087,ペンケ東梅
S011100008700000,ペンケ東梅,S0111000087,ペンケ東梅
S0111000088,道の駅スワン４４ねむろ,S0111000088,道の駅スワン４４ねむろ
S011100008800000,道の駅スワン４４ねむろ,S0111000088,道の駅スワン４４ねむろ
S0111000089,基線,S0111000089,基線
S011100008900000,基線,S0111000089,基線
S0111000090,川口,S0111000090,川口
S011100009000000,川口,S0111000090,川口
S0111000091,湖南西口,S0111000091,湖南西口
S011100009100000,湖南西口,S0111000091,湖南西口
S0111000092,湖南中央,S0111000092,湖南中央
S011100009200000,湖南中央,S0111000092,湖南中央
S0111000093,厚床小中学校前,S0111000093,厚床小中学校前
S011100009300000,厚床小中学校前,S0111000093,厚床小中学校前
S0111000094,すずらん学園前,S0111000094,すずらん学園前
S011100009400000,すずらん学園前,S0111000094,すずらん学園前
S0111000095,厚床,S0111000095,厚床
S011100009500000,厚床,S0111000095,厚床
S0111000096,西浜ＳＣ前,S0111000096,西浜ＳＣ前
S011100009600000,西浜ＳＣ前,S0111000096,西浜ＳＣ前
S0111000097,宝町一丁目,S0111000097,宝町一丁目
S011100009700000,宝町一丁目,S0111000097,宝町一丁目
S0111000098,厚床駅前,S0111000098,厚床駅前
S011100009800000,厚床駅前,S0111000098,厚床駅前
S0111000099,伊藤牧場前,S0111000099,伊藤牧場前
S011100009900000,伊藤牧場前,S0111000099,伊藤牧場前
S0111000100,奥行,S0111000100,奥行
S011100010000000,奥行,S0111000100,奥行
S0111000101,別海高校前,S0111000101,別海高校前
S011100010100000,別海高校前,S0111000101,別海高校前
S0111000102,別海町交流館ぷらと前,S0111000102,別海町交流館ぷらと前
S011100010200000,別海町交流館ぷらと前,S0111000102,別海町交流館ぷらと前
S011100010200001,別海町交流館ぷらと前,S0111000102,別海町交流館ぷらと前
S0111000103,中春別,S0111000103,中春別
S011100010300000,中春別,S0111000103,中春別
S0111000104,中標津バスターミナル,S0111000104,中標津バスターミナル
S011100010400000,中標津バスターミナル,S0111000104,中標津バスターミナル
S0111000105,中標津町役場前,S0111000105,中標津町役場前
